anio,edo,tipo,sexo,tasa
2007,Guanajuato,trans,Hombres,70.4
2007,Guerrero,trans,Hombres,72
2007,Hidalgo,trans,Hombres,68.4
2007,Jalisco,trans,Hombres,76
2007,México,trans,Hombres,79.3
2007,Michoacán,trans,Hombres,62.6
2007,Morelos,trans,Hombres,74.4
2007,Nayarit,trans,Hombres,70.5
2007,Nuevo León,trans,Hombres,70.3
2007,Oaxaca,trans,Hombres,97.2
2007,Puebla,trans,Hombres,91
2007,Querétaro,trans,Hombres,66.2
2007,Quintana Roo,trans,Hombres,80
2007,San Luis Potosí,trans,Hombres,64.4
2007,Sinaloa,trans,Hombres,58.8
2007,Sonora,trans,Hombres,82.8
2007,Tabasco,trans,Hombres,87.2
2007,Tamaulipas,trans,Hombres,71.2
2007,Tlaxcala,trans,Hombres,72.8
2007,Veracruz,trans,Hombres,86.4
2007,Yucatán,trans,Hombres,84
2007,Zacatecas,trans,Hombres,62.3
2008,Aguascalientes,trans,Hombres,60
2008,Baja California,trans,Hombres,88.2
2008,Baja California Sur,trans,Hombres,73.3
2008,Campeche,trans,Hombres,65.6
2008,Coahuila,trans,Hombres,59.6
2008,Colima,trans,Hombres,71.4
2008,Chiapas,trans,Hombres,106.2
2008,Chihuahua,trans,Hombres,84.5
2008,Distrito Federal,trans,Hombres,79.9
2008,Durango,trans,Hombres,63
2008,Guanajuato,trans,Hombres,68.9
2008,Guerrero,trans,Hombres,71.6
2008,Hidalgo,trans,Hombres,63.5
2008,Jalisco,trans,Hombres,75.6
2008,México,trans,Hombres,79.1
2008,Michoacán,trans,Hombres,62.3
2008,Morelos,trans,Hombres,76.1
2008,Nayarit,trans,Hombres,82.6
2008,Nuevo León,trans,Hombres,73
2008,Oaxaca,trans,Hombres,101
2008,Puebla,trans,Hombres,87.2
2008,Querétaro,trans,Hombres,64.9
2008,Quintana Roo,trans,Hombres,67.2
2008,San Luis Potosí,trans,Hombres,62.6
2008,Sinaloa,trans,Hombres,66
2008,Sonora,trans,Hombres,82.8
2008,Tabasco,trans,Hombres,76.6
2008,Tamaulipas,trans,Hombres,70.3
2008,Tlaxcala,trans,Hombres,60.4
2008,Veracruz,trans,Hombres,91.6
2008,Yucatán,trans,Hombres,82.7
2008,Zacatecas,trans,Hombres,64.8
2e3,Aguascalientes,noTrans,Mujeres,416.8
2e3,Baja California,noTrans,Mujeres,503.8
2e3,Baja California Sur,noTrans,Mujeres,409.9
2e3,Campeche,noTrans,Mujeres,391.5
2e3,Coahuila,noTrans,Mujeres,500.6
2e3,Colima,noTrans,Mujeres,436.4
2e3,Chiapas,noTrans,Mujeres,402.6
2e3,Chihuahua,noTrans,Mujeres,503.7
2e3,Distrito Federal,noTrans,Mujeres,476.8
2e3,Durango,noTrans,Mujeres,400.5
2e3,Guanajuato,noTrans,Mujeres,420.1
2e3,Guerrero,noTrans,Mujeres,282.3
2e3,Hidalgo,noTrans,Mujeres,355.2
2e3,Jalisco,noTrans,Mujeres,452.6
2e3,México,noTrans,Mujeres,466
2e3,Michoacán,noTrans,Mujeres,394.1
2e3,Morelos,noTrans,Mujeres,396.8
2e3,Nayarit,noTrans,Mujeres,389.7
2e3,Nuevo León,noTrans,Mujeres,452
2e3,Oaxaca,noTrans,Mujeres,367.3
2e3,Puebla,noTrans,Mujeres,417.4
2e3,Querétaro,noTrans,Mujeres,429.4
2e3,Quintana Roo,noTrans,Mujeres,364.7
2e3,San Luis Potosí,noTrans,Mujeres,376.3
2e3,Sinaloa,noTrans,Mujeres,377.4
2e3,Sonora,noTrans,Mujeres,458.4
2e3,Tabasco,noTrans,Mujeres,409.2
2e3,Tamaulipas,noTrans,Mujeres,431.5
2e3,Tlaxcala,noTrans,Mujeres,378.6
2e3,Veracruz,noTrans,Mujeres,415.2
2e3,Yucatán,noTrans,Mujeres,422.8
2e3,Zacatecas,noTrans,Mujeres,382.1
2001,Aguascalientes,noTrans,Mujeres,448.2
2001,Baja California,noTrans,Mujeres,484.4
2001,Baja California Sur,noTrans,Mujeres,417
2001,Campeche,noTrans,Mujeres,363.8
2001,Coahuila,noTrans,Mujeres,510
2001,Colima,noTrans,Mujeres,431.2
2001,Chiapas,noTrans,Mujeres,405.7
2001,Chihuahua,noTrans,Mujeres,519.7
2001,Distrito Federal,noTrans,Mujeres,469.9
2001,Durango,noTrans,Mujeres,409.7
2001,Guanajuato,noTrans,Mujeres,410.4
2001,Guerrero,noTrans,Mujeres,299.2
2001,Hidalgo,noTrans,Mujeres,375.8
2001,Jalisco,noTrans,Mujeres,437.8
2001,México,noTrans,Mujeres,462.8
2001,Michoacán,noTrans,Mujeres,386
2001,Morelos,noTrans,Mujeres,403.4
2001,Nayarit,noTrans,Mujeres,375.5
2001,Nuevo León,noTrans,Mujeres,439.4
2001,Oaxaca,noTrans,Mujeres,367.5
2001,Puebla,noTrans,Mujeres,417.9
2001,Querétaro,noTrans,Mujeres,405.6
2001,Quintana Roo,noTrans,Mujeres,353.8
2001,San Luis Potosí,noTrans,Mujeres,372.3
